year,day,racenumber,racename,raceknownas,grade,winner,trainer,jockey,odds,favourite,winningdistance,time,age,weight,runners,going,racedistance,,
2018,1,1,Sky Bet Supreme Novices' Hurdle,Supreme Novices' Hurdle,1,Summerville Boy,Tom George,Noel Fehily,9/1,No,0.2,04:05.0,6,11-7,19,Soft(Heavy in Places),2m0f87y,,
2018,1,2,Racing Post Arkle Challenge Trophy Novices' Chase,Arkle Novices' Chase,1,Footpad,Willie Mullins,Ruby Walsh,5/6,Yes,14,04:02.4,6,11-4,5,Soft(Heavy in Places),1m7f199y,,
2018,1,3,Ultima Handicap Chase,Handicap Chase,3,Coo Star Sivola,Nick Williams,Lizzie Kelly,5/1,Yes,0.2,06:47.5,6,10-13,18,Soft(Heavy in Places),3m1f0y,,
2018,1,4,Unibet Champion Hurdle Challenge Trophy,Champion Hurdle,1,Buveur D'Air,Nicky Henderson,Barry Geraghty,4/6,Yes,0.2,04:05.0,7,11-10,11,Soft(Heavy in Places),2m0f87y,,
2018,1,5,OLGB Mares's Hurdle,Mares' Hurdle,1,Benie Des Dieux,Willie Mullins,Ruby Walsh,9/2,No,0.5,05:10.1,7,11-5,9,Soft(Heavy in Places),2m3f200y,,
2018,1,6,National Hunt Challenge Cup Amateur Riders' Novices' Chase,National Hunt Novices's Chase,2,Rathvinden,Willie Mullins,Patrick Mullins,9/2,No,0.5,08:50.3,10,11-6,16,Soft(Heavy in Places),3m7f170y,,
2018,1,7,Close Brothers Novices' Handicap Chase,Novices' Handicap Chase,Listed,Mister Whitaker,Mick Channon,Brian Hughes,13/2,No,0.1,05:28.8,6,11-2,19,Soft(Heavy in Places),2m4f87y,,
2018,2,1,Ballymore Novices' Hurdle,Novices' Hurdle,1,Samcro,Gordon Elliot,Jack Kennedy,8/11,Yes,2.75,05:18.2,6,11-7,14,Soft(Heavy in Places),2m5f26y,,
2018,2,2,RSA Novices' Chase,RSA Novices' Chase,1,Presenting Percy,Patrick Kelly,Davy Russell,5/2,Yes,7,06:32.0,7,11-4,10,Soft(Heavy in Places),3m0f80y,,
2018,2,3,Coral Cup Handicap Hurdle,Coral Cup Handicap Hurdle,3,Bleu Berry,Willie Mullins,Mark Walsh,20/1,No,3,05:20.6,7,11-2,26,Soft(Heavy in Places),2m5f26y,,
2018,2,4,Betway Queen Mother Champion Chase,Queen Mother Champion Chase,1,Altior,Nicky Henderson,Nico De Boinville,1/1,Yes,7,04:07.2,8,11-10,9,Soft(Heavy in Places),1m7f199y,,
2018,2,5,Glenfarclas Chase (Cross Country Chase),Cross Country Chase,-,Tiger Roll,Gordon Elliot,Keith Donoghue,7/1,No,2,08:51.6,8,11-4,16,Soft(Heavy in Places),3m6f37y,,
2018,2,6,Boodles Fred Winter Juvenile Handicap Hurdle,Fred Winter Juvenile Handicap Hurdle,3,Veneer of Charm,Gordon Elliot,Jack Kennedy,33/1,No,3,04:11.0,4,11-0,22,Soft(Heavy in Places),2m0f87y,,
2018,2,7,Weatherbys Champion Bumper,Champion Bumper,1,Relegate,Willie Mullins,Katie Walsh,25/1,No,0.2,04:04.1,5,10-12,23,Soft(Heavy in Places),2m0f87y,,
2018,3,1,JLT Novices' Chase,JLT Novices' Chase,1,Shattered Love,Gordon Elliot,Jack Kennedy,4/1,No,7,05:11.3,7,10-11,9,Soft(Heavy in Places),2m3f198y,,
2018,3,2,Pertemps Network Final Handicap Hurdle,Pertemps Network Final Handicap Hurdle,3,Delta Work,Gordon Elliot,Davy Russell,6/1,No,0.025,06:09.2,5,10-10,23,Soft(Heavy in Places),2m7f213y,,
2018,3,3,Ryanair Chase,Ryanair Chase,1,Balko des Flos,Henry de Bromhead,Davy Russell,8/1,No,4.5,05:23.3,7,11-10,6,Soft(Heavy in Places),2m4f166y,,
2018,3,4,Sun Bets Stayer Hurdle,Stayer Hurdle,1,Pennhill,Willie Mullins,Paul Townend,12/1,No,2,06:20.4,7,11-10,15,Soft(Heavy in Places),2m7f213y,,
2018,3,5,Brown Advisory & Merriebelle Stable Plate Handicap Chase,Brown Advisory Plate Handicap Chase,3,The Storyteller,Gordon Elliot,Davy Russell,5/1,Yes,1.75,05:27.8,7,11-4,22,Soft(Heavy in Places),2m4f166y,,
2018,3,6,Trull House Stud Mares' Novice Hurdle(Dawn Run),Mares' Novice Hurdle,2,Laurina,Willie Mullins,Paul Townend,4/7,Yes,18,04:15.7,5,11-7,14,Soft(Heavy in Places),2m0f179y,,
2018,3,7,Fulke Walwyn Kim Muir Challenge Cup Amateur Riders Handicap Chase,Kim Muir Handicap Chase,-,Missed Approach,Warren Greatrex,Noel McParlan,8/1,No,20,07:09.0,8,11-5,20,Soft(Heavy in Places),3m2f0y,,
2018,4,1,JCB Triumph Hurdle,Triumph Hurdle,1,Farclas,Gordon Elliot,Jack Kennedy,9/1,No,1.75,04:17.0,4,11-0,9,Soft(Heavy in Places),2m0f179y,,
2018,4,2,Randox Health County Handicap Hurdle,County Handicap Hurdle,3,Mohaayed,Dan Skelton,Bridget Andrews,33/1,No,2.75,04:18.0,6,10-11,24,Soft(Heavy in Places),2m0f179y,,
2018,4,3,Albert Bartlett Novices' Hurdle,Albert Bartlett Novices' Hurdle,1,Kilbricken Storm,Colin Tizzard,Harry Cobden,33/1,No,3,06:13.6,7,11-5,20,Soft(Heavy in Places),2m7f213y,,
2018,4,4,Timico Cheltenham Gold Cup,Cheltenham Gold Cup,1,Native River,Colin Tizzard,Richard Johnson,5/1,No,4.5,07:02.9,8,11-10,15,Soft(Heavy in Places),3m2f70y,,
2018,4,5,St Jame's Place Foxhunter Challenge Cup Open Hunters' Chase,Foxhunter Chase,-,Pachu Du Polder,Paul Nicholls,Harriet Tucker,25/1,No,0.2,07:17.2,11,12-0,24,Soft(Heavy in Places),3m2f70y,,
2018,4,6,Martin Pipe Conditional Jockeys' Handicap Hurdle,Martin Pipe Handicap Hurdle,-,Blow By Blow,Gordon Elliot,Donagh Meyler,11/1,No,5,05:22.1,7,11-10,23,Soft(Heavy in Places),2m4f56y,,
2018,4,7,Johnny Henderson Grand Annual Challenge Cup Handicap Hurdle,Grand Annual Handicap Hurdle,3,Le Prezien,Paul Nicholls,Barry Geraghty,15/2,No,4.5,04:21.8,7,11-8,22,Soft(Heavy in Places),2m0f62y,,
2017,1,1,Sky Bet Supreme Novices' Hurdle,Supreme Novices' Hurdle,1,Labaik,Gordon Elliot,Jack Kennedy,25/1,No,2.25,03:52.7,6,11-7,14,Good to Soft,2m0f87y,,
2017,1,2,Racing Post Arkle Challenge Trophy Novices' Chase,Arkle Novices' Chase,1,Altior,Nicky Henderson,Nico De Boinville,1/4,Yes,6,03:55.6,7,11-4,9,Good to Soft,1m7f199y,,
2017,1,3,Ultima Handicap Chase,Handicap Chase,3,Un Temps Pour Tout,David Pipe,Tom Scudamore,9/1,No,0.05,06:20.1,8,11-12,23,Good to Soft,3m1f0y,,
2017,1,4,Stan James Champion Hurdle Challenge Trophy,Champion Hurdle,1,Buveur D'Air,Nicky Henderson,Noel Fehily,5/1,No,4.5,03:51.0,6,11-10,11,Good to Soft,2m0f87y,,
2017,1,5,OLGB Mares's Hurdle,Mares' Hurdle,1,Apple's Jade,Gordon Elliot,Bryan Cooper,7/2,No,1.5,04:50.2,5,11-5,17,Good to Soft,2m3f200y,,
2017,1,6,JT McNamara National Hunt Challenge Cup Amateur Riders' Novices' Chase,National Hunt Novices's Chase,2,Tiger Roll,Gordon Elliot,Lisa O Neill,16/1,No,3,08:22.3,7,11-6,18,Good to Soft,3m7f170y,,
2017,1,7,Close Brothers Novices' Handicap Chase,Novices' Handicap Chase,Listed,Tully East,Alan Fleming,Denis O Regan,8/1,No,1.25,05.11.0,7,11-8,20,Good to Soft,2m4f87y,,
2017,2,1,Neptune Investment Management Novices' Hurdle,Novices' Hurdle,1,Willoughby Court,Ben Pauling,David Bass,14/1,No,0.1,05:09.3,6,11-7,15,Good to Soft(Good in Places),2m5f26y,,
2017,2,2,RSA Novices' Chase,RSA Novices' Chase,1,Might Bite,Nicky Henderson,Nico De Boinville,7/2,Yes,0.025,06:08.7,8,11-4,12,Good to Soft(Good in Places),3m0f80y,,
2017,2,3,Coral Cup Handicap Hurdle,Coral Cup Handicap Hurdle,3,Supasundae,Jessica Harrington,Robbie Power,16/1,No,2,05:04.1,7,11-4,25,Good to Soft(Good in Places),2m5f26y,,
2017,2,4,Betway Queen Mother Champion Chase,Queen Mother Champion Chase,1,Special Tiara,Henry de Bromhead,Noel Fehily,11/1,No,0.1,03:55.3,10,11-10,10,Good to Soft(Good in Places),1m7f199y,,
2017,2,5,Glenfarclas Chase (Cross Country Chase),Cross Country Chase,-,Cause of Causes,Gordon Elliot,JJ Codd,4/1,No,9,08:12.4,9,11-4,16,Good to Soft(Good in Places),3m6f37y,,
2017,2,6,Fred Winter Juvenile Handicap Hurdle,Fred Winter Juvenile Handicap Hurdle,3,Flying Tiger,Nick Williams,Richard Johnson,33/1,No,0.2,03:58.1,4,11-5,22,Good to Soft(Good in Places),2m0f87y,,
2017,2,7,Weatherbys Champion Bumper,Champion Bumper,1,Fayonagh,Gordon Elliot,JJ Codd,7/1,No,1.25,03:51.1,6,10-12,22,Good to Soft(Good in Places),2m0f87y,,
2017,3,1,JLT Novices' Chase,JLT Novices' Chase,1,Yorkhill,Willie Mullins,Ruby Walsh,6/4,Yes,1,04:58.9,7,11-4,8,Good(Good to Soft in Places),2m3f198y,,
2017,3,2,Pertemps Network Final Handicap Hurdle,Pertemps Network Final Handicap Hurdle,Listed,Presenting Percy,Patrick Kelly,Davy Russell,11/1,No,3.75,05:49.3,6,11-11,24,Good(Good to Soft in Places),2m7f213y,,
2017,3,3,Ryanair Chase,Ryanair Chase,1,Un De Sceaux,Willie Mullins,Ruby Walsh,7/4,Yes,1.5,05:09.6,9,11-10,8,Good(Good to Soft in Places),2m4f166y,,
2017,3,4,Sun Bets Stayer Hurdle,Stayer Hurdle,1,Nicholas Canyon,Willie Mullins,Ruby Walsh,10/1,No,0.75,05:49.6,7,11-10,12,Good(Good to Soft in Places),2m7f213y,,
2017,3,5,Brown Advisory & Merriebelle Stable Plate Handicap Chase,Brown Advisory Plate Handicap Chase,3,Road To Respect,Noel Meade,Bryan Cooper,14/1,No,6,05:08.7,6,10-13,24,Good(Good to Soft in Places),2m4f166y,,
2017,3,6,Trull House Stud Mares' Novice Hurdle(Dawn Run),Mares' Novice Hurdle,2,Let's Dance,Willie Mullins,Ruby Walsh,11/8,Yes,2.75,04:01.9,5,11-7,16,Good(Good to Soft in Places),2m0f179y,,
2017,3,7,Fulke Walwyn Kim Muir Challenge Cup Amateur Riders Handicap Chase,Kim Muir Handicap Chase,-,Domesday Book,Stuart Edmunds,Gina Andrews,40/1,No,0.75,06:48.4,7,11-4,24,Good(Good to Soft in Places),3m2f0y,,
2017,4,1,JCB Triumph Hurdle,Triumph Hurdle,1,Defi Du Seuil,Philip Hobbs,Richard Johnson,5/2,Yes,5,04:20.2,4,11-0,15,Good,2m0f179y,,
2017,4,2,Randox Health County Handicap Hurdle,County Handicap Hurdle,3,Artic Fire,Willie Mullins,Paul Townend,20/1,No,0.2,04:00.0,8,11-12,25,Good,2m0f179y,,
2017,4,3,Albert Bartlett Novices' Hurdle,Albert Bartlett Novices' Hurdle,1,Pennhill,Willie Mullins,Paul Townend,16/1,No,3.5,05:49.5,6,11-5,15,Good,2m7f213y,,
2017,4,4,Timico Cheltenham Gold Cup,Cheltenham Gold Cup,1,Sizing John,Jessica Harrington,Robbie Power,7/1,No,2.75,06:36.3,7,11-10,13,Good,3m2f70y,,
2017,4,5,St Jame's Place Foxhunter Challenge Cup Open Hunters' Chase,Foxhunter Chase,-,Pachu Du Polder,Paul Nicholls,Bryony Frost,16/1,No,0.2,06:42.9,10,12-0,23,Good,3m2f70y,,
2017,4,6,Martin Pipe Conditional Jockeys' Handicap Hurdle,Martin Pipe Handicap Hurdle,-,Champagne Classic,Gordon Elliot,jj Slevin,12/1,No,2.25,04:55.8,6,11-3,23,Good,2m4f56y,,
2017,4,7,Johnny Henderson Grand Annual Challenge Cup Handicap Hurdle,Grand Annual Handicap Hurdle,3,Rock The World,Jessica Harrington,Robbie Power,10/1,No,1.75,04:01.4,9,11-5,24,Good,2m0f62y,,
2016,1,1,Sky Bet Supreme Novices' Hurdle,Supreme Novices' Hurdle,1,Altior,Nicky Henderson,Nico De Boinville,4/1,No,7,03:46.1,6,11-7,14,Good to Soft(Soft in places),2m0f87y,,
2016,1,2,Racing Post Arkle Challenge Trophy Novices' Chase,Arkle Novices' Chase,1,Douvan,Willie Mullins,Ruby Walsh,1/4,Yes,7,03:48.7,6,11-4,7,Good to Soft(Soft in places),1m7f199y,,
2016,1,3,Ultima Handicap Chase,Handicap Chase,3,Un Temps Pour Tout,David Pipe,Tom Scudamore,11/1,No,7,06:17.5,7,11-7,23,Good to Soft(Soft in places),3m1f0y,,
2016,1,4,Stan James Champion Hurdle Challenge Trophy,Champion Hurdle,1,Annie Power,Willie Mullins,Ruby Walsh,5/2,Yes,4.5,03:45.1,6,11-3,12,Good to Soft(Soft in places),2m0f87y,,
2016,1,5,OLGB Mares's Hurdle,Mares' Hurdle,1,Vroom Vroom Mag,Willie Mullins,Ruby Walsh,4/6,Yes,2.75,04:45.0,7,11-5,19,Good to Soft(Soft in places),2m3f200y,,
2016,1,6,National Hunt Challenge Cup Amateur Riders' Novices' Chase,National Hunt Novices's Chase,Listed,Minella Rocco,Jonjo O'Neill,Derek O'Connor,8/1,No,1.25,08:14.0,6,11-6,20,Good to Soft(Soft in places),3m7f170y,,
2016,1,7,Close Brothers Novices' Handicap Chase,Novices' Handicap Chase,Listed,Ballyalton,Ian Williams,Brian Hughes,12/1,no,0.5,05:08.7,9,11-10,20,Good to Soft(Soft in places),2m4f87y,,
2016,2,1,Neptune Investment Management Novices' Hurdle,Novices' Hurdle,1,Yorkhill,Willie Mullins,Ruby Walsh,3/1,No,1.75,05:00.3,6,11-7,11,Good(Good to Soft in Places),2m5f26y,,
2016,2,2,RSA Novices' Chase,RSA Novices' Chase,1,Blaklion,Nigel Twiston-Davies,Ryan Hatch,8/1,No,0.5,06:05.7,7,11-4,8,Good(Good to Soft in Places),3m0f80y,,
2016,2,3,Coral Cup Handicap Hurdle,Coral Cup Handicap Hurdle,3,Diamond King,Gordon Elliot,Davy Russell,12/1,No,1.25,05:02.8,8,11-3,26,Good(Good to Soft in Places),2m5f26y,,
2016,2,4,Betway Queen Mother Champion Chase,Queen Mother Champion Chase,1,Sprinter Sacre,Nicky Henderson,Nico De Boinville,5/1,No,3.5,03:49.1,8,11-10,10,Good(Good to Soft in Places),1m7f199y,,
